0,press,KeyStroke,a,
125,release,KeyStroke,a,
389,press,KeyStroke,5,
501,release,KeyStroke,5,
830,press,KeyStroke,5,
974,release,KeyStroke,5,
1326,press,KeyStroke,5,
1461,release,KeyStroke,5,
1863,press,KeyStroke,4,
1998,release,KeyStroke,4,
2413,press,KeyStroke,s,
3214,release,KeyStroke,s,
3446,press,KeyStroke,3,
3566,release,KeyStroke,3,
3798,press,KeyStroke,2,
3934,release,KeyStroke,2,
4414,press,KeyStroke,1,
4862,release,KeyStroke,1,
5126,press,KeyStroke,d,
5350,release,KeyStroke,d,
