0,press,a
448,press,5
628,release,5
907,press,5
1077,release,5
1403,press,5
1573,release,5
1632,release,a
1870,press,s
1879,press,4
2114,release,4
2162,release,s
2811,press,3
2950,release,3
3063,press,2
3185,release,2
3593,press,d
3602,press,1
4003,release,d
4211,release,1
5073,press,s
5515,release,s
6751,press,a
7178,release,a
7272,press,5
7490,release,5
7712,press,6
7925,release,6
8192,press,7
8544,release,7
8686,press,d
9027,release,d
9163,press,7
9424,release,7
9594,press,7
9855,release,7
10059,press,6
10309,release,6
10501,press,s
11029,release,s
12224,press,6
12368,release,6
12484,press,9
12656,release,9
12749,press,8
12892,release,8
13004,press,9
13158,release,9
13253,press,6
13424,release,6
13725,press,7
14104,release,7
14232,press,a
14643,release,a
14742,press,5
14918,release,5
15182,press,5
15421,release,5
15643,press,5
15866,release,5
16077,press,s
16087,press,4
16344,release,s
16354,release,4
16988,press,3
17153,release,3
17226,press,2
17376,release,2
17717,press,d
17744,press,1
18325,release,1
18405,release,d
20144,press,ctrl+c
